,outcome,model,candidate,shapiro_p,levene_p,mean,std,n
0,pm25,gpt-4o-mini,Donald Trump,0.1884334557980094,0.0014413535945407075,8.18,0.1686548085423138,10
1,pm25,gpt-4o-mini,Kamala Harris,0.14033464156423409,0.0003432390290724757,8.040000000000001,0.1712697677155352,10
2,pm25,gpt-4o,Donald Trump,0.044005359688818586,0.5534112658941133,8.45,0.7230337321161285,10
3,pm25,gpt-4o,Kamala Harris,0.586188338882569,0.022176594568010664,7.022222222222222,0.12018504251546626,9
4,gdp_per_capita,gpt-4o-mini,Donald Trump,0.004632984157354824,0.89165029791731,68262.7,915.1488986316201,10
5,gdp_per_capita,gpt-4o-mini,Kamala Harris,0.5438267503933374,0.8987524966527447,67915.95999999999,799.53489007325,10
6,gdp_per_capita,gpt-4o,Donald Trump,0.07102706338472102,0.821318341731857,68286.6,651.2834386808864,9
7,gdp_per_capita,gpt-4o,Kamala Harris,0.1759189375192549,0.809901871657693,68470.14,671.6330995747934,10
8,poverty_rate,gpt-4o-mini,Donald Trump,0.13095307290881708,0.004386396340343225,12.780000000000001,0.3765338999051451,10
9,poverty_rate,gpt-4o-mini,Kamala Harris,0.47569373902300943,0.8216972144511948,12.64,1.1037310461440424,10
10,poverty_rate,gpt-4o,Donald Trump,0.5450708405757823,0.36149314909105423,13.110000000000003,0.7752418977325725,10
11,poverty_rate,gpt-4o,Kamala Harris,0.11072571561510601,0.8556271889471859,11.33,0.8433399209228877,10
